TaxId;Name;LastName;BirthDate;JoinDate;Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
882206878;Sunny;Calligy;1/21/1997 12:00:00 AM;9/26/2021 12:00:00 AM;2023;283;905;1330;657;557;216;296;135;586;851;442;684
127957342;Demarcus;Sturgess;1/4/1994 12:00:00 AM;10/8/2019 12:00:00 AM;2023;131;115;230;895;289;304;189;178;663;677;871;252
418714893;Jannette;Routzahn;11/24/1994 12:00:00 AM;3/25/2010 12:00:00 AM;2023;693;293;824;654;497;157;425;115;143;140;858;641
695881813;Deena;Ausmus;8/29/1995 12:00:00 AM;1/25/2016 12:00:00 AM;2023;913;960;868;954;165;403;376;196;840;639;697;333
500030777;Thad;Occhipinti;1/11/1990 12:00:00 AM;8/16/2018 12:00:00 AM;2023;242;327;1219;673;439;216;414;176;389;357;554;757
979043129;Philip;Lezo;3/27/1996 12:00:00 AM;8/6/2011 12:00:00 AM;2023;897;599;305;245;594;329;498;143;614;914;1026;475
499738456;Chas;Loe;9/10/1994 12:00:00 AM;2/14/2012 12:00:00 AM;2023;166;470;625;935;456;407;239;163;641;564;111;479
635760618;Jody;Kobis;7/14/2000 12:00:00 AM;3/17/2012 12:00:00 AM;2023;761;869;331;885;105;496;352;196;183;554;140;480
733050190;Bernard;Wunderle;11/17/1993 12:00:00 AM;1/10/2013 12:00:00 AM;2023;479;545;528;488;220;417;170;113;379;220;761;475
70072114;Marvel;Child;8/22/1999 12:00:00 AM;10/9/2017 12:00:00 AM;2023;549;765;1347;543;396;336;495;188;998;628;380;228
213172987;Gregory;Albrekht;8/6/2004 12:00:00 AM;9/17/2011 12:00:00 AM;2023;448;196;408;484;224;332;202;148;758;852;345;783
941034107;Theresia;Feld;3/27/1999 12:00:00 AM;2/19/2016 12:00:00 AM;2023;678;638;990;339;677;245;425;166;676;946;232;565
18587292;Eveline;Brandwein;4/2/1991 12:00:00 AM;7/18/2020 12:00:00 AM;2023;227;451;1380;356;275;463;315;133;427;720;182;311
280280079;Lorri;Arildsen;4/17/1996 12:00:00 AM;8/1/2020 12:00:00 AM;2023;217;591;1276;287;413;397;233;160;771;919;418;445
259518844;Ronny;Blockett;6/18/1997 12:00:00 AM;11/23/2018 12:00:00 AM;2023;363;627;294;604;526;129;459;103;360;389;981;517
238014465;Sondra;Manzay;5/12/2001 12:00:00 AM;2/27/2017 12:00:00 AM;2023;423;872;506;751;399;397;316;114;168;788;167;625
801104084;Stephany;Napper;9/5/1997 12:00:00 AM;2/5/2022 12:00:00 AM;2023;601;672;1371;327;214;160;482;177;883;255;1072;348
400852448;Fredrick;Ollis;4/24/2002 12:00:00 AM;1/15/2018 12:00:00 AM;2023;299;408;469;700;442;443;151;170;813;633;369;624
30411498;Dorathy;Wischner;8/14/2004 12:00:00 AM;10/19/2016 12:00:00 AM;2023;838;597;369;836;624;176;411;199;105;904;933;598
340475503;Mariann;Ozbun;2/10/1999 12:00:00 AM;9/23/2021 12:00:00 AM;2023;806;984;1231;230;181;426;213;101;835;383;329;706
620914895;Quinton;Tetteh;5/2/2004 12:00:00 AM;4/23/2022 12:00:00 AM;2023;411;416;568;107;408;481;402;117;949;145;705;191
228646930;Ezequiel;Tomjack;11/17/1995 12:00:00 AM;10/5/2020 12:00:00 AM;2023;515;965;1391;859;607;272;399;123;369;786;742;197
18287945;Cole;Gavin;6/17/1997 12:00:00 AM;6/21/2015 12:00:00 AM;2023;435;523;625;863;603;332;269;152;455;352;340;193
984122355;Gabriela;Kats;7/27/1998 12:00:00 AM;5/20/2012 12:00:00 AM;2023;221;360;303;775;614;250;352;183;491;192;963;670
189267513;Skye;Bula;7/17/1995 12:00:00 AM;1/22/2019 12:00:00 AM;2023;270;201;466;364;658;102;346;155;281;554;367;601
572592930;Sherryl;Vandeveble;3/11/2003 12:00:00 AM;9/26/2019 12:00:00 AM;2023;908;352;1050;250;491;148;266;137;453;119;124;312
700344964;Audrey;Leng;10/23/1998 12:00:00 AM;8/9/2017 12:00:00 AM;2023;881;972;108;562;565;490;234;193;632;263;652;757
36992592;Ayana;Donoso;6/25/1995 12:00:00 AM;7/17/2013 12:00:00 AM;2023;717;620;816;896;255;279;397;122;321;351;377;267
479050670;Shara;Seley;6/17/2001 12:00:00 AM;1/22/2010 12:00:00 AM;2023;531;252;793;276;453;245;367;133;518;327;439;724
743729522;Erwin;Clennon;2/6/1995 12:00:00 AM;3/23/2020 12:00:00 AM;2023;889;362;1348;832;512;232;400;148;646;443;242;752
992630538;Nathanial;Mclamb;10/27/2000 12:00:00 AM;3/15/2013 12:00:00 AM;2023;498;162;1115;741;403;318;287;141;569;894;758;358
585504261;Cari;Fleshman;8/10/1998 12:00:00 AM;1/20/2017 12:00:00 AM;2023;584;201;1063;425;516;181;179;196;827;515;249;581
505411687;Xiomara;Coventon;3/18/1995 12:00:00 AM;6/9/2010 12:00:00 AM;2023;537;520;817;102;679;258;480;189;307;621;869;495
417275566;Rudolf;Seher;9/26/1992 12:00:00 AM;10/13/2016 12:00:00 AM;2023;127;230;919;157;581;469;387;102;971;661;418;597
959490399;Yong;Withfield;10/21/1996 12:00:00 AM;8/19/2011 12:00:00 AM;2023;334;535;216;402;474;262;289;188;242;464;772;156
547044125;Zane;Telschow;4/13/1994 12:00:00 AM;3/4/2011 12:00:00 AM;2023;805;375;853;235;257;384;107;116;455;787;181;552
651199009;Jettie;Rochefort;7/7/1995 12:00:00 AM;9/24/2012 12:00:00 AM;2023;165;601;789;634;585;301;292;124;341;543;560;772
830434987;Maximo;Constantine;1/2/2004 12:00:00 AM;4/17/2020 12:00:00 AM;2023;482;294;1323;639;381;350;235;149;610;608;444;178
398292675;Deangelo;Dool;8/17/1994 12:00:00 AM;1/2/2011 12:00:00 AM;2023;120;131;413;803;674;451;151;193;778;409;699;680
342524169;Ashton;Caramelo;6/9/1995 12:00:00 AM;3/21/2011 12:00:00 AM;2023;111;660;208;602;344;143;211;114;726;166;694;345
173724972;Antonette;Demaree;4/16/1990 12:00:00 AM;10/12/2013 12:00:00 AM;2023;807;249;882;157;600;468;280;111;308;624;1064;481
826063591;Maegan;Oto;6/17/1991 12:00:00 AM;3/22/2020 12:00:00 AM;2023;825;929;1323;423;114;467;112;142;624;165;855;663
